"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Cambodia","Somalia","2003","1","1","1","1"
"Cambodia","Sri Lanka","2003","6","6","6","6"
"Cambodia","Sudan","2003","4","2","4","2"
"Cambodia","Togo","2003","3","3","3","3"
"Cambodia","Viet Nam","2003","33","33","33","33"
"Cameroon","Burundi","2003","282","","282",""
"Cameroon","Central African Rep.","2003","379","","379",""
"Cameroon","Chad","2003","39261","","39261",""
"Cameroon","Congo","2003","145","","145",""
"Cameroon","Dem. Rep. of the Congo","2003","300","","300",""
"Cameroon","Liberia","2003","72","","72",""
"Cameroon","Nigeria","2003","16983","","16983",""
"Cameroon","Rwanda","2003","995","","995",""
"Cameroon","Various","2003","166","","166",""
"Canada","Afghanistan","2003","14616","","14616",""
"Canada","Albania","2003","1226","","1226",""
"Canada","Algeria","2003","2030","","2030",""
"Canada","Angola","2003","517","","517",""
"Canada","Antigua and Barbuda","2003","5","","5",""
"Canada","Argentina","2003","196","","196",""
"Canada","Armenia","2003","79","","79",""
"Canada","Austria","2003","4","","4",""
"Canada","Azerbaijan","2003","258","","258",""
"Canada","Bahamas","2003","1","","1",""
"Canada","Bahrain","2003","5","","5",""
"Canada","Bangladesh","2003","1235","","1235",""
"Canada","Barbados","2003","8","","8",""
"Canada","Belarus","2003","127","","127",""
"Canada","Belgium","2003","3","","3",""
"Canada","Benin","2003","24","","24",""
"Canada","Bhutan","2003","8","","8",""
"Canada","Bolivia (Plurinational State of)","2003","46","","46",""
"Canada","Bosnia and Herzegovina","2003","4112","","4112",""
"Canada","Botswana","2003","2","","2",""
"Canada","Brazil","2003","36","","36",""
"Canada","Bulgaria","2003","711","","711",""
"Canada","Burkina Faso","2003","30","","30",""
"Canada","Burundi","2003","1524","","1524",""
"Canada","Cabo Verde","2003","1","","1",""
"Canada","Cambodia","2003","57","","57",""
"Canada","Cameroon","2003","247","","247",""
"Canada","Central African Rep.","2003","17","","17",""
"Canada","Chad","2003","440","","440",""
"Canada","Chile","2003","169","","169",""
"Canada","China","2003","5722","","5722",""
"Canada","Colombia","2003","6689","","6689",""
"Canada","Comoros","2003","4","","4",""
"Canada","Congo","2003","154","","154",""
"Canada","Costa Rica","2003","86","","86",""
"Canada","Côte d'Ivoire","2003","146","","146",""
"Canada","Croatia","2003","2000","","2000",""
"Canada","Cuba","2003","1005","","1005",""
"Canada","Cyprus","2003","2","","2",""
"Canada","Czech Rep.","2003","696","","696",""
"Canada","Dem. People's Rep. of Korea","2003","3","","3",""
"Canada","Dem. Rep. of the Congo","2003","4706","","4706",""
"Canada","Denmark","2003","2","","2",""
"Canada","Djibouti","2003","318","","318",""
"Canada","Dominica","2003","17","","17",""
"Canada","Dominican Rep.","2003","26","","26",""
"Canada","Ecuador","2003","113","","113",""
"Canada","Egypt","2003","1291","","1291",""
"Canada","El Salvador","2003","442","","442",""
"Canada","Equatorial Guinea","2003","5","","5",""
"Canada","Eritrea","2003","557","","557",""
"Canada","Estonia","2003","11","","11",""
"Canada","Ethiopia","2003","2873","","2873",""
"Canada","Fiji","2003","313","","313",""
"Canada","France","2003","29","","29",""
"Canada","Gabon","2003","8","","8",""
"Canada","Gambia","2003","18","","18",""
"Canada","Georgia","2003","219","","219",""
"Canada","Germany","2003","663","","663",""
"Canada","Ghana","2003","207","","207",""
"Canada","Greece","2003","42","","42",""
"Canada","Grenada","2003","76","","76",""
"Canada","Guatemala","2003","385","","385",""
"Canada","Guinea","2003","561","","561",""
"Canada","Guinea-Bissau","2003","6","","6",""
"Canada","Guyana","2003","49","","49",""
"Canada","Haiti","2003","413","","413",""
"Canada","Honduras","2003","177","","177",""
"Canada","Hungary","2003","657","","657",""
"Canada","India","2003","3514","","3514",""
"Canada","Indonesia","2003","148","","148",""
"Canada","Iraq","2003","5441","","5441",""
"Canada","Islamic Rep. of Iran","2003","6794","","6794",""
"Canada","Israel","2003","104","","104",""
"Canada","Italy","2003","14","","14",""
"Canada","Jamaica","2003","55","","55",""
"Canada","Japan","2003","1","","1",""
"Canada","Jordan","2003","86","","86",""
"Canada","Kazakhstan","2003","249","","249",""
"Canada","Kenya","2003","332","","332",""
"Canada","Kuwait","2003","92","","92",""
"Canada","Kyrgyzstan","2003","103","","103",""
"Canada","Latvia","2003","40","","40",""
"Canada","Lebanon","2003","521","","521",""
"Canada","Liberia","2003","268","","268",""
"Canada","Libya","2003","198","","198",""
"Canada","Lithuania","2003","25","","25",""
"Canada","Madagascar","2003","4","","4",""
"Canada","Malawi","2003","16","","16",""
"Canada","Malaysia","2003","100","","100",""
"Canada","Mali","2003","65","","65",""
"Canada","Malta","2003","6","","6",""
"Canada","Mauritania","2003","30","","30",""
"Canada","Mauritius","2003","1","","1",""
"Canada","Mexico","2003","1195","","1195",""
"Canada","Mongolia","2003","24","","24",""
"Canada","Morocco","2003","60","","60",""
"Canada","Mozambique","2003","3","","3",""
"Canada","Myanmar","2003","440","","440",""
"Canada","Nepal","2003","83","","83",""
"Canada","Netherlands","2003","2","","2",""
"Canada","Nicaragua","2003","145","","145",""
"Canada","Niger","2003","18","","18",""
"Canada","Nigeria","2003","986","","986",""
"Canada","Oman","2003","1","","1",""
"Canada","Pakistan","2003","7994","","7994",""
"Canada","Panama","2003","8","","8",""
"Canada","Paraguay","2003","3","","3",""
"Canada","Peru","2003","962","","962",""
"Canada","Philippines","2003","60","","60",""
"Canada","Poland","2003","281","","281",""
"Canada","Portugal","2003","4","","4",""
"Canada","Rep. of Korea","2003","71","","71",""
"Canada","Rep. of Moldova","2003","133","","133",""
"Canada","Romania","2003","715","","715",""
"Canada","Russian Federation","2003","1994","","1994",""
"Canada","Rwanda","2003","1462","","1462",""
"Canada","Saint Lucia","2003","11","","11",""
"Canada","Saint Vincent and the Grenadines","2003","105","","105",""
"Canada","Saudi Arabia","2003","25","","25",""
"Canada","Senegal","2003","46","","46",""
"Canada","Serbia (and Kosovo: S/RES/1244 (1999))","2003","7020","","7020",""
"Canada","Sierra Leone","2003","1374","","1374",""
"Canada","Singapore","2003","8","","8",""
"Canada","Slovakia","2003","17","","17",""
"Canada","Slovenia","2003","7","","7",""
"Canada","Solomon Islands","2003","4","","4",""
"Canada","Somalia","2003","5080","","5080",""
"Canada","South Africa","2003","32","","32",""
"Canada","Spain","2003","6","","6",""
"Canada","Sri Lanka","2003","12563","","12563",""
"Canada","State of Palestine","2003","97","","97",""
"Canada","Stateless","2003","1654","","1654",""
"Canada","Sudan","2003","5141","","5141",""
"Canada","Suriname","2003","2","","2",""
"Canada","Swaziland","2003","2","","2",""
"Canada","Sweden","2003","6","","6",""
"Canada","Switzerland","2003","17","","17",""
"Canada","Syrian Arab Rep.","2003","424","","424",""
"Canada","Tajikistan","2003","29","","29",""
"Canada","Thailand","2003","20","","20",""
"Canada","The former Yugoslav Rep. of Macedonia","2003","85","","85",""
"Canada","Togo","2003","194","","194",""
"Canada","Trinidad and Tobago","2003","22","","22",""
"Canada","Tunisia","2003","97","","97",""
"Canada","Turkey","2003","2000","","2000",""
"Canada","Turkmenistan","2003","7","","7",""
"Canada","Uganda","2003","153","","153",""
"Canada","Ukraine","2003","817","","817",""
"Canada","United Arab Emirates","2003","2","","2",""
"Canada","United Kingdom","2003","22","","22",""
"Canada","United Rep. of Tanzania","2003","236","","236",""
"Canada","United States","2003","167","","167",""
"Canada","Uruguay","2003","35","","35",""
"Canada","Uzbekistan","2003","133","","133",""
"Canada","Various","2003","1005","","1005",""
"Canada","Venezuela (Bolivarian Republic of)","2003","235","","235",""
"Canada","Viet Nam","2003","85","","85",""
"Canada","Yemen","2003","169","","169",""
"Canada","Zambia","2003","10","","10",""
"Canada","Zimbabwe","2003","654","","654",""
"Central African Rep.","Angola","2003","50","1","50","1"
"Central African Rep.","Burundi","2003","35","4","35","4"
"Central African Rep.","Cameroon","2003","9","","9",""
"Central African Rep.","Chad","2003","1241","","1241",""
"Central African Rep.","Congo","2003","90","","90",""
"Central African Rep.","Côte d'Ivoire","2003","15","","15",""
"Central African Rep.","Dem. Rep. of the Congo","2003","6498","2929","6498","2929"
"Central African Rep.","Liberia","2003","37","","37",""
"Central African Rep.","Mali","2003","20","","20",""
"Central African Rep.","Niger","2003","2","","2",""
"Central African Rep.","Nigeria","2003","6","","6",""
"Central African Rep.","Rwanda","2003","251","28","251","28"
"Central African Rep.","Sierra Leone","2003","7","","7",""
"Central African Rep.","Sudan","2003","36479","36352","36479","36352"
"Central African Rep.","Uganda","2003","8","","8",""
"Central African Rep.","United Rep. of Tanzania","2003","2","","2",""
"Central African Rep.","Zambia","2003","3","","3",""
"Chad","Afghanistan","2003","14","8","14","8"
"Chad","Cambodia","2003","34","18","34","18"
"Chad","Central African Rep.","2003","33893","33543","33893","33543"
"Chad","Congo","2003","208","126","208","126"
"Chad","Dem. Rep. of the Congo","2003","1975","1252","1975","1252"
"Chad","Ethiopia","2003","2","2","2","2"
"Chad","Ghana","2003","15","11","15","11"
"Chad","Liberia","2003","145","93","145","93"
"Chad","Mauritania","2003","2","2","2","2"
"Chad","Russian Federation","2003","1","1","1","1"
"Chad","Rwanda","2003","22","18","22","18"
"Chad","Sierra Leone","2003","59","36","59","36"
"Chad","Somalia","2003","18","13","18","13"
"Chad","State of Palestine","2003","4","","4",""
"Chad","Sudan","2003","110000","55000","110000","55000"
"Chad","Togo","2003","8","5","8","5"
"Chile","Afghanistan","2003","17","15","17","15"
"Chile","Angola","2003","6","2","6","2"
"Chile","Bosnia and Herzegovina","2003","3","3","3","3"
"Chile","Burundi","2003","2","1","2","1"
"Chile","Colombia","2003","99","29","99","29"
"Chile","Croatia","2003","3","","3",""
"Chile","Cuba","2003","46","30","46","30"
"Chile","Dem. Rep. of the Congo","2003","4","3","4","3"
"Chile","Ethiopia","2003","1","1","1","1"
"Chile","Haiti","2003","1","1","1","1"
"Chile","India","2003","1","1","1","1"
"Chile","Iraq","2003","10","3","10","3"
"Chile","Islamic Rep. of Iran","2003","4","1","4","1"
"Chile","Liberia","2003","3","3","3","3"
"Chile","Libya","2003","1","1","1","1"
"Chile","Nigeria","2003","7","4","7","4"
"Chile","Peru","2003","218","194","218","194"
"Chile","Russian Federation","2003","3","3","3","3"
"Chile","Rwanda","2003","12","7","12","7"
"Chile","Serbia (and Kosovo: S/RES/1244 (1999))","2003","11","5","11","5"
"Chile","Somalia","2003","1","","1",""
"Chile","Sri Lanka","2003","6","6","6","6"
"Chile","State of Palestine","2003","3","3","3","3"
"Chile","Various","2003","3","3","3","3"
"Chile","Viet Nam","2003","1","1","1","1"
"China","Afghanistan","2003","8","8","8","8"
"China","Burundi","2003","18","18","18","18"
"China","Dem. Rep. of the Congo","2003","2","2","2","2"
"China","Iraq","2003","3","3","3","3"
"China","Islamic Rep. of Iran","2003","14","14","14","14"
"China","Liberia","2003","2","2","2","2"
"China","Pakistan","2003","1","1","1","1"
"China","Somalia","2003","15","15","15","15"
"China","Sri Lanka","2003","1","1","1","1"
"China","State of Palestine","2003","2","2","2","2"
"China","Sudan","2003","1","1","1","1"
"China","Viet Nam","2003","299287","10812","299287","10812"
"Colombia","Angola","2003","3","3","3","3"
"Colombia","China","2003","1","","1",""
"Colombia","Cuba","2003","13","1","13","1"
"Colombia","Ecuador","2003","1","","1",""
"Colombia","Hungary","2003","28","3","28","3"
"Colombia","Iraq","2003","2","","2",""
"Colombia","Islamic Rep. of Iran","2003","10","6","10","6"
"Colombia","Liberia","2003","5","3","5","3"
"Colombia","Nicaragua","2003","78","18","78","18"
"Colombia","Peru","2003","16","5","16","5"
"Colombia","Romania","2003","6","","6",""
"Colombia","Serbia (and Kosovo: S/RES/1244 (1999))","2003","8","2","8","2"
"Colombia","Sierra Leone","2003","5","","5",""
"Colombia","South Africa","2003","3","","3",""
"Colombia","Stateless","2003","3","1","3","1"
"Colombia","Ukraine","2003","1","","1",""
"Colombia","Venezuela (Bolivarian Republic of)","2003","3","3","3","3"
"Congo","Angola","2003","3881","1815","3881","1815"
"Congo","Burundi","2003","76","76","76","76"
"Congo","Central African Rep.","2003","338","338","338","338"
"Congo","Chad","2003","79","79","79","79"
"Congo","Dem. Rep. of the Congo","2003","81004","79555","81004","79555"
"Congo","Rwanda","2003","5921","29","5921","29"
"Congo","Various","2003","63","54","63","54"
"Costa Rica","Colombia","2003","8266","","8266",""
"Costa Rica","Cuba","2003","1164","","1164",""
"Costa Rica","El Salvador","2003","788","","788",""
"Costa Rica","Guatemala","2003","146","","146",""
"Costa Rica","Honduras","2003","42","","42",""
"Costa Rica","Nicaragua","2003","2632","","2632",""
"Costa Rica","Peru","2003","230","","230",""
"Costa Rica","Russian Federation","2003","59","","59",""
"Costa Rica","Various","2003","181","","181",""
"Côte d'Ivoire","Afghanistan","2003","7","7","7","7"
"Côte d'Ivoire","Angola","2003","5","5","5","5"
"Côte d'Ivoire","Burkina Faso","2003","1","1","1","1"
"Côte d'Ivoire","Burundi","2003","101","101","101","101"
"Côte d'Ivoire","Cambodia","2003","38","38","38","38"
"Côte d'Ivoire","Cameroon","2003","4","4","4","4"
"Côte d'Ivoire","Central African Rep.","2003","28","28","28","28"
"Côte d'Ivoire","Chad","2003","12","12","12","12"
"Côte d'Ivoire","Congo","2003","583","583","583","583"
"Côte d'Ivoire","Dem. Rep. of the Congo","2003","181","181","181","181"
"Côte d'Ivoire","Eritrea","2003","1","1","1","1"
"Côte d'Ivoire","Ethiopia","2003","13","13","13","13"
"Côte d'Ivoire","Ghana","2003","20","20","20","20"
"Côte d'Ivoire","Guinea","2003","7","7","7","7"
"Côte d'Ivoire","Islamic Rep. of Iran","2003","19","19","19","19"
"Côte d'Ivoire","Liberia","2003","74180","74180","74180","74180"
"Côte d'Ivoire","Mali","2003","1","1","1","1"
"Côte d'Ivoire","Mauritania","2003","3","3","3","3"
"Côte d'Ivoire","Niger","2003","2","2","2","2"
"Côte d'Ivoire","Nigeria","2003","18","18","18","18"
"Côte d'Ivoire","Rwanda","2003","304","304","304","304"
"Côte d'Ivoire","Sierra Leone","2003","334","334","334","334"
"Côte d'Ivoire","Somalia","2003","1","1","1","1"
"Côte d'Ivoire","Sri Lanka","2003","1","1","1","1"
"Côte d'Ivoire","State of Palestine","2003","7","7","7","7"
"Côte d'Ivoire","Sudan","2003","10","10","10","10"
"Côte d'Ivoire","Syrian Arab Rep.","2003","3","3","3","3"
"Côte d'Ivoire","Togo","2003","9","9","9","9"
"Côte d'Ivoire","Tunisia","2003","1","1","1","1"
"Côte d'Ivoire","Uganda","2003","1","1","1","1"
"Côte d'Ivoire","Viet Nam","2003","76","76","76","76"
"Croatia","Afghanistan","2003","1","1","1","1"
"Croatia","Bosnia and Herzegovina","2003","3930","3930","3930","3930"
"Croatia","Serbia (and Kosovo: S/RES/1244 (1999))","2003","455","455","455","455"
"Croatia","The former Yugoslav Rep. of Macedonia","2003","1","1","1","1"
"Cuba","Afghanistan","2003","23","23","23","23"
"Cuba","Chile","2003","10","","10",""
"Cuba","Colombia","2003","3","","3",""
"Cuba","Congo","2003","2","","2",""
"Cuba","Dem. Rep. of the Congo","2003","1","","1",""
"Cuba","El Salvador","2003","6","","6",""
"Cuba","Eritrea","2003","2","2","2","2"
"Cuba","Ethiopia","2003","36","21","36","21"
"Cuba","Guatemala","2003","3","","3",""
"Cuba","Haiti","2003","1","","1",""
"Cuba","Iraq","2003","5","5","5","5"
"Cuba","Islamic Rep. of Iran","2003","9","8","9","8"
"Cuba","Liberia","2003","1","1","1","1"
"Cuba","State of Palestine","2003","6","6","6","6"
"Cuba","Sudan","2003","7","6","7","6"
"Cuba","Western Sahara","2003","721","673","721","673"
"Cyprus","Afghanistan","2003","3","3","3","3"
"Cyprus","Algeria","2003","4","4","4","4"
"Cyprus","Bangladesh","2003","1","1","1","1"
"Cyprus","Bosnia and Herzegovina","2003","15","15","15","15"
"Cyprus","Cameroon","2003","2","2","2","2"
"Cyprus","Egypt","2003","10","10","10","10"
"Cyprus","Georgia","2003","1","1","1","1"
"Cyprus","Indonesia","2003","1","1","1","1"
"Cyprus","Iraq","2003","11","11","11","11"
"Cyprus","Islamic Rep. of Iran","2003","185","185","185","185"
"Cyprus","Jordan","2003","2","2","2","2"
"Cyprus","Lebanon","2003","6","6","6","6"
"Cyprus","Libya","2003","1","1","1","1"
"Cyprus","Pakistan","2003","8","8","8","8"
"Cyprus","Russian Federation","2003","15","15","15","15"
"Cyprus","Serbia (and Kosovo: S/RES/1244 (1999))","2003","20","20","20","20"
"Cyprus","Sierra Leone","2003","13","13","13","13"
"Cyprus","Somalia","2003","2","2","2","2"
"Cyprus","Sri Lanka","2003","2","2","2","2"
"Cyprus","State of Palestine","2003","14","14","14","14"
"Cyprus","Sudan","2003","1","1","1","1"
"Cyprus","Syrian Arab Rep.","2003","13","13","13","13"
"Cyprus","Turkey","2003","19","19","19","19"
"Czech Rep.","Afghanistan","2003","240","240","240","240"
"Czech Rep.","Albania","2003","15","15","15","15"
"Czech Rep.","Algeria","2003","1","1","1","1"
"Czech Rep.","Angola","2003","21","21","21","21"
"Czech Rep.","Armenia","2003","77","77","77","77"
"Czech Rep.","Azerbaijan","2003","30","30","30","30"
"Czech Rep.","Belarus","2003","109","109","109","109"
